,0,1,2
0,0,d,"(4,19.595917942265423)"
1,1,d,"(-7.587978186650222,18.504663926667796)"
2,2,d,"(13.865217878210583,14.413734186176379)"
3,3,d,"(-5.26528852961737,19.294474253005177)"
4,4,d,"(15.142159503793412,13.065795251789263)"
5,5,d,"(-3.185027608815468,19.74476130853658)"
6,6,d,"(16.322625380901584,11.55733103595927)"
7,7,d,"(-1.119041933651497,19.968669088117252)"
8,8,d,"(17.394587975671946,9.870577954537866)"
9,9,d,"(0.8297487149231335,19.98278051398462)"
10,10,d,"(18.322167348637567,8.018614821059769)"
11,11,d,"(2.7601504237580947,19.808623617965686)"
12,12,d,"(19.05055468662732,6.089036552018873)"
13,13,d,"(4.713304107520288,19.436686044437522)"
14,14,d,"(19.553412006377116,4.202865559218767)"
15,15,d,"(6.665344436125918,18.856648258579924)"
16,16,d,"(19.877019740628114,2.2145171552011655)"
17,17,d,"(8.50425742243988,18.10186746423905)"
18,18,d,"(19.998944051456775,0.20551600108433496)"
19,19,d,"(10.260139489241375,17.16768876876878)"
