,0,1,2
0,0,sh,"(-19,6.244997998398398)"
1,1,sh,"(17.08170325190916,10.402663794130616)"
2,2,sh,"(-12.50535835666055,15.608203367828732)"
3,3,sh,"(18.70854502270741,7.070384935300897)"
4,4,sh,"(-11.23657927313966,16.545068335865167)"
5,5,sh,"(19.56574211039991,4.145085725208069)"
6,6,sh,"(-11.16165462378404,16.595706253707927)"
7,7,sh,"(19.97176728265487,1.062314269638004)"
8,8,sh,"(-10.457049680674192,17.048463625086917)"
9,9,sh,"(19.861583317595624,2.3489376573692238)"
10,10,sh,"(-5.9091130364430775,19.10712911775441)"
11,11,sh,"(19.992335169630426,0.5536555473924133)"
12,12,sh,"(-2.2151302090171443,19.876951430164024)"
13,13,sh,"(19.999987404161168,0.02244623341778929)"
14,14,sh,"(0.46808927027794484,19.994521560543795)"
15,15,sh,"(19.958975336463837,1.2803528882414714)"
16,16,sh,"(5.638959277563057,19.18859396271612)"
